W,L/D,theta,R,iso
3.63,0.25,0,2.13,751.87
3.63,0.25,0,3.35,307.99
3.63,0.25,0,4.88,108.8
3.63,0.25,0,6.4,76.88
3.63,0.25,0,7.92,61.16
3.63,0.25,0,9.45,51.92
3.63,0.25,0,2.13,716.64
3.63,0.25,0,3.35,305.78
3.63,0.25,0,4.88,109.01
3.63,0.25,0,6.4,46.33
3.63,0.25,0,7.92,61.02
3.63,0.25,0,9.45,48.13
3.63,0.25,22.5,2.13,184.02
3.63,0.25,22.5,3.35,138.79
3.63,0.25,22.5,4.88,98.53
3.63,0.25,22.5,6.4,75.15
3.63,0.25,22.5,7.92,56.47
3.63,0.25,22.5,9.45,47.78
3.63,0.25,22.5,2.13,217.32
3.63,0.25,22.5,3.35,124.31
3.63,0.25,22.5,4.88,95.63
3.63,0.25,22.5,6.4,67.36
3.63,0.25,22.5,7.92,56.74
3.63,0.25,22.5,9.45,45.78
3.63,0.25,45,2.13,123.83
3.63,0.25,45,3.35,109.01
3.63,0.25,45,4.88,107.77
3.63,0.25,45,6.4,79.84
3.63,0.25,45,7.92,63.91
3.63,0.25,45,9.45,57.5
3.63,0.25,45,2.13,125.42
3.63,0.25,45,3.35,116.31
3.63,0.25,45,4.88,102.11
3.63,0.25,45,6.4,76.6
3.63,0.25,45,7.92,63.36
3.63,0.25,45,9.45,52.68
3.63,0.25,45,2.13,121.62
3.63,0.25,45,3.35,122.24
3.63,0.25,45,4.88,102.8
3.63,0.25,45,6.4,78.26
3.63,0.25,45,7.92,62.33
3.63,0.25,45,9.45,56.19
3.63,0.25,67.5,2.13,128.38
3.63,0.25,67.5,3.35,103.42
3.63,0.25,67.5,4.88,82.05
3.63,0.25,67.5,6.4,71.64
3.63,0.25,67.5,7.92,59.85
3.63,0.25,67.5,9.45,54.19
3.63,0.25,67.5,2.13,133
3.63,0.25,67.5,3.35,105.15
3.63,0.25,67.5,4.88,84.81
3.63,0.25,67.5,6.4,66.47
3.63,0.25,67.5,7.92,58.33
3.63,0.25,67.5,9.45,50.54
3.63,0.25,90,2.13,120.93
3.63,0.25,90,3.35,85.63
3.63,0.25,90,4.88,83.43
3.63,0.25,90,6.4,67.29
3.63,0.25,90,7.92,56.67
3.63,0.25,90,9.45,53.3
3.63,0.25,90,2.13,134.31
3.63,0.25,90,3.35,87.84
3.63,0.25,90,4.88,74.12
3.63,0.25,90,6.4,62.95
3.63,0.25,90,7.92,55.36
3.63,0.25,90,9.45,47.44
3.63,0.25,90,2.13,143
3.63,0.25,90,3.35,90.67
3.63,0.25,90,4.88,79.63
3.63,0.25,90,6.4,57.5
3.63,0.25,90,7.92,57.02
3.63,0.25,90,9.45,49.92
3.63,0.25,90,2.13,110.52
3.63,0.25,90,3.35,94.8
3.63,0.25,90,4.88,88.12
3.63,0.25,90,6.4,73.29
3.63,0.25,90,7.92,57.78
3.63,0.25,90,9.45,53.64
3.63,0.25,112.5,2.13,135.83
3.63,0.25,112.5,3.35,108.45
3.63,0.25,112.5,4.88,85.22
3.63,0.25,112.5,6.4,64.74
3.63,0.25,112.5,7.92,58.26
3.63,0.25,112.5,9.45,50.81
3.63,0.25,112.5,2.13,128.17
3.63,0.25,112.5,3.35,110.04
3.63,0.25,112.5,4.88,75.5
3.63,0.25,112.5,6.4,65.36
3.63,0.25,112.5,7.92,55.85
3.63,0.25,112.5,9.45,51.09
3.63,0.25,135,2.13,159.96
3.63,0.25,135,3.35,99.01
3.63,0.25,135,4.88,100.8
3.63,0.25,135,6.4,75.98
3.63,0.25,135,7.92,62.33
3.63,0.25,135,9.45,55.02
3.63,0.25,135,2.13,133.83
3.63,0.25,135,3.35,142.38
3.63,0.25,135,4.88,97.29
3.63,0.25,135,6.4,81.84
3.63,0.25,135,7.92,64.81
3.63,0.25,135,9.45,55.57
3.63,0.25,135,2.13,146.86
3.63,0.25,135,3.35,121.69
3.63,0.25,135,4.88,99.49
3.63,0.25,135,6.4,59.29
3.63,0.25,135,7.92,61.98
3.63,0.25,135,9.45,51.3
3.63,0.25,157.5,2.13,248.97
3.63,0.25,157.5,3.35,150.03
3.63,0.25,157.5,4.88,93.63
3.63,0.25,157.5,6.4,73.7
3.63,0.25,157.5,7.92,57.3
3.63,0.25,157.5,9.45,47.3
3.63,0.25,157.5,2.13,216.01
3.63,0.25,157.5,3.35,147.07
3.63,0.25,157.5,4.88,91.91
3.63,0.25,157.5,6.4,73.98
3.63,0.25,157.5,7.92,56.47
3.63,0.25,157.5,9.45,45.16
3.63,0.25,180,2.13,883.98
3.63,0.25,180,3.35,243.04
3.63,0.25,180,4.88,120.73
3.63,0.25,180,6.4,81.84
3.63,0.25,180,7.92,59.64
3.63,0.25,180,9.45,49.37
3.63,0.25,180,2.13,527.04
3.63,0.25,180,3.35,231.8
3.63,0.25,180,4.88,133
3.63,0.25,180,6.4,91.49
3.63,0.25,180,7.92,64.67
3.63,0.25,180,9.45,55.16
3.63,0.5,0,3.35,222.63
3.63,0.5,0,4.88,107.83
3.63,0.5,0,6.4,74.67
3.63,0.5,0,7.92,50.88
3.63,0.5,0,9.45,45.85
3.63,0.5,45,2.13,189.33
3.63,0.5,45,3.35,139.21
3.63,0.5,45,4.88,110.87
3.63,0.5,45,6.4,85.56
3.63,0.5,45,7.92,68.6
3.63,0.5,45,9.45,59.09
3.63,0.5,90,2.13,146.24
3.63,0.5,90,3.35,100.73
3.63,0.5,90,4.88,62.67
3.63,0.5,90,6.4,67.43
3.63,0.5,90,7.92,50.12
3.63,0.5,90,9.45,47.5
3.63,0.5,90,2.13,249.66
3.63,0.5,90,3.35,97.22
3.63,0.5,90,4.88,81.29
3.63,0.5,90,6.4,64.95
3.63,0.5,90,7.92,57.16
3.63,0.5,90,9.45,47.37
3.63,0.5,90,2.13,326.6
3.63,0.5,90,3.35,191.88
3.63,0.5,90,4.88,172.78
3.63,0.5,90,6.4,138.31
3.63,0.5,90,7.92,117.83
3.63,0.5,90,9.45,96.73
3.63,0.5,135,2.13,175.2
3.63,0.5,135,3.35,134.03
3.63,0.5,135,4.88,106.87
3.63,0.5,135,6.4,78.53
3.63,0.5,135,7.92,64.26
3.63,0.5,135,9.45,54.54
3.63,0.5,180,2.13,181.26
3.63,0.5,180,3.35,40.89
3.63,0.5,180,4.88,39.64
3.63,0.5,180,6.4,43.44
3.63,0.5,180,7.92,28.34
3.63,0.5,180,9.45,37.51
3.63,0.5,180,2.13,1028.77
3.63,0.5,180,3.35,345.29
3.63,0.5,180,4.88,174.78
3.63,0.5,180,6.4,141.07
3.63,0.5,180,7.92,110.04
3.63,0.5,180,9.45,127.48
3.63,1,0,2.13,404.17
3.63,1,0,3.35,180.44
3.63,1,0,4.88,93.84
3.63,1,0,6.4,86.12
3.63,1,0,7.92,64.67
3.63,1,0,9.45,58.05
3.63,1,0,3.35,210.77
3.63,1,0,4.88,99.28
3.63,1,0,6.4,81.08
3.63,1,0,7.92,62.6
3.63,1,0,9.45,55.5
3.63,1,0,2.13,416.31
3.63,1,0,3.35,232.49
3.63,1,0,4.88,98.46
3.63,1,0,6.4,75.57
3.63,1,0,7.92,64.12
3.63,1,0,9.45,56.12
3.63,1,0,2.13,263.66
3.63,1,0,3.35,210.98
3.63,1,0,4.88,100.66
3.63,1,0,6.4,70.53
3.63,1,0,7.92,64.53
3.63,1,0,9.45,52.68
3.63,1,0,2.13,484.49
3.63,1,0,3.35,194.78
3.63,1,0,4.88,122.24
3.63,1,0,6.4,80.05
3.63,1,0,7.92,67.09
3.63,1,0,9.45,57.23
3.63,1,22.5,2.13,102.04
3.63,1,22.5,3.35,107.49
3.63,1,22.5,4.88,99.35
3.63,1,22.5,6.4,47.92
3.63,1,22.5,7.92,70.6
3.63,1,22.5,9.45,57.57
3.63,1,22.5,2.13,141.48
3.63,1,22.5,3.35,103.21
3.63,1,22.5,4.88,98.04
3.63,1,22.5,6.4,81.7
3.63,1,22.5,7.92,64.47
3.63,1,22.5,9.45,56.47
3.63,1,22.5,2.13,103.49
3.63,1,22.5,3.35,106.18
3.63,1,22.5,4.88,96.25
3.63,1,22.5,6.4,65.91
3.63,1,22.5,7.92,65.57
3.63,1,22.5,9.45,52.68
3.63,1,45,2.13,189.61
3.63,1,45,3.35,149.41
3.63,1,45,4.88,88.94
3.63,1,45,6.4,74.33
3.63,1,45,7.92,71.08
3.63,1,45,9.45,59.36
3.63,1,45,2.13,154.65
3.63,1,45,3.35,137.41
3.63,1,45,4.88,117.49
3.63,1,45,6.4,84.25
3.63,1,45,7.92,67.57
3.63,1,45,9.45,55.99
3.63,1,45,2.13,183.54
3.63,1,45,3.35,146.44
3.63,1,45,4.88,120.66
3.63,1,45,6.4,90.39
3.63,1,45,7.92,71.57
3.63,1,45,9.45,55.78
3.63,1,67.5,2.13,165.34
3.63,1,67.5,3.35,125.07
3.63,1,67.5,4.88,90.87
3.63,1,67.5,6.4,50.26
3.63,1,67.5,7.92,64.88
3.63,1,67.5,9.45,52.68
3.63,1,67.5,2.13,167.54
3.63,1,67.5,3.35,111.01
3.63,1,67.5,4.88,101.9
3.63,1,67.5,6.4,75.08
3.63,1,67.5,7.92,62.4
3.63,1,67.5,9.45,50.88
3.63,1,67.5,2.13,168.44
3.63,1,67.5,3.35,119.07
3.63,1,67.5,4.88,92.53
3.63,1,67.5,6.4,67.09
3.63,1,67.5,7.92,59.78
3.63,1,67.5,9.45,49.09
3.63,1,90,2.13,221.11
3.63,1,90,3.35,126.73
3.63,1,90,4.88,95.01
3.63,1,90,6.4,64.12
3.63,1,90,7.92,53.5
3.63,1,90,9.45,45.92
3.63,1,90,2.13,186.78
3.63,1,90,3.35,96.73
3.63,1,90,4.88,75.08
3.63,1,90,6.4,59.36
3.63,1,90,7.92,50.95
3.63,1,90,9.45,47.02
3.63,1,90,2.13,231.32
3.63,1,90,3.35,128.52
3.63,1,90,4.88,78.88
3.63,1,90,6.4,77.15
3.63,1,90,7.92,54.95
3.63,1,90,9.45,52.19
3.63,1,90,2.13,205.26
3.63,1,90,3.35,118.18
3.63,1,90,4.88,77.98
3.63,1,90,6.4,74.95
3.63,1,90,7.92,56.61
3.63,1,90,9.45,49.64
3.63,1,90,2.13,652.93
3.63,1,90,3.35,124.24
3.63,1,90,4.88,85.56
3.63,1,90,6.4,65.43
3.63,1,90,7.92,55.23
3.63,1,90,9.45,52.4
3.63,1,90,2.13,194.91
3.63,1,90,3.35,105.28
3.63,1,90,4.88,86.18
3.63,1,90,6.4,69.15
3.63,1,90,7.92,57.71
3.63,1,90,9.45,46.82
3.63,1,90,2.13,213.05
3.63,1,90,3.35,108.04
3.63,1,90,4.88,85.15
3.63,1,90,6.4,69.09
3.63,1,90,7.92,57.02
3.63,1,90,9.45,50.47
3.63,1,90,2.13,197.67
3.63,1,90,3.35,109.08
3.63,1,90,4.88,86.81
3.63,1,90,6.4,69.43
3.63,1,90,7.92,63.43
3.63,1,90,9.45,50.26
3.63,1,112.5,2.13,239.87
3.63,1,112.5,3.35,131
3.63,1,112.5,4.88,81.63
3.63,1,112.5,6.4,102.18
3.63,1,112.5,7.92,59.92
3.63,1,112.5,9.45,57.98
3.63,1,112.5,2.13,155.27
3.63,1,112.5,3.35,124.52
3.63,1,112.5,4.88,83.63
3.63,1,112.5,6.4,68.33
3.63,1,112.5,7.92,59.09
3.63,1,112.5,9.45,53.3
3.63,1,112.5,2.13,155.2
3.63,1,112.5,3.35,119.9
3.63,1,112.5,4.88,95.7
3.63,1,112.5,6.4,75.64
3.63,1,112.5,7.92,60.95
3.63,1,112.5,9.45,53.23
3.63,1,135,2.13,152.31
3.63,1,135,3.35,128.73
3.63,1,135,4.88,98.46
3.63,1,135,6.4,76.67
3.63,1,135,7.92,66.26
3.63,1,135,9.45,55.78
3.63,1,135,2.13,190.02
3.63,1,135,3.35,127.97
3.63,1,135,4.88,93.49
3.63,1,135,6.4,80.67
3.63,1,135,7.92,62.81
3.63,1,135,9.45,54.81
3.63,1,135,2.13,163.2
3.63,1,135,3.35,142.65
3.63,1,135,4.88,93.29
3.63,1,135,6.4,76.6
3.63,1,135,7.92,61.23
3.63,1,135,9.45,53.5
3.63,1,157.5,2.13,292.96
3.63,1,157.5,3.35,136.24
3.63,1,157.5,4.88,78.81
3.63,1,157.5,6.4,83.7
3.63,1,157.5,7.92,60.19
3.63,1,157.5,9.45,60.12
3.63,1,157.5,2.13,151.34
3.63,1,157.5,3.35,107.35
3.63,1,157.5,4.88,92.53
3.63,1,157.5,6.4,79.36
3.63,1,157.5,7.92,64.6
3.63,1,157.5,9.45,56.05
3.63,1,157.5,2.13,171.06
3.63,1,157.5,3.35,96.6
3.63,1,157.5,4.88,81.22
3.63,1,157.5,6.4,75.98
3.63,1,157.5,7.92,63.71
3.63,1,157.5,9.45,58.81
3.63,1,180,2.13,294.13
3.63,1,180,3.35,132.66
3.63,1,180,4.88,109.76
3.63,1,180,6.4,77.01
3.63,1,180,7.92,63.71
3.63,1,180,9.45,56.54
3.63,1,180,2.13,284.13
3.63,1,180,3.35,121.49
3.63,1,180,4.88,79.7
3.63,1,180,6.4,75.91
3.63,1,180,7.92,65.36
3.63,1,180,9.45,58.19
3.63,1,180,2.13,262.21
3.63,1,180,3.35,124.66
3.63,1,180,4.88,87.01
3.63,1,180,6.4,76.05
3.63,1,180,7.92,66.05
3.63,1,180,9.45,56.88
3.63,2,0,2.13,253.52
3.63,2,0,3.35,138.52
3.63,2,0,4.88,106.8
3.63,2,0,6.4,65.43
3.63,2,0,7.92,65.22
3.63,2,0,9.45,53.3
3.63,2,0,2.13,139.48
3.63,2,0,3.35,120.04
3.63,2,0,4.88,108.94
3.63,2,0,6.4,91.63
3.63,2,0,7.92,70.4
3.63,2,0,9.45,37.65
3.63,2,45,2.13,172.23
3.63,2,45,3.35,153.55
3.63,2,45,4.88,110.52
3.63,2,45,6.4,78.95
3.63,2,45,7.92,65.78
3.63,2,45,9.45,51.57
3.63,2,90,2.13,204.15
3.63,2,90,3.35,116.66
3.63,2,90,4.88,87.22
3.63,2,90,6.4,61.02
3.63,2,90,7.92,54.47
3.63,2,90,9.45,43.02
3.63,2,90,2.13,226.35
3.63,2,90,3.35,112.87
3.63,2,90,4.88,84.81
3.63,2,90,6.4,67.36
3.63,2,90,7.92,50.68
3.63,2,90,9.45,48.95
3.63,2,90,2.13,345.63
3.63,2,90,3.35,73.98
3.63,2,90,4.88,78.12
3.63,2,90,6.4,76.88
3.63,2,90,7.92,61.36
3.63,2,90,9.45,47.44
3.63,2,135,2.13,149.13
3.63,2,135,3.35,127.62
3.63,2,135,4.88,91.49
3.63,2,135,6.4,74.6
3.63,2,135,7.92,61.57
3.63,2,135,9.45,55.5
3.63,2,180,2.13,190.16
3.63,2,180,3.35,93.77
3.63,2,180,4.88,88.32
3.63,2,180,6.4,76.46
3.63,2,180,7.92,63.78
3.63,2,180,9.45,58.54
3.63,3,0,2.13,144.38
3.63,3,0,3.35,118.93
3.63,3,0,4.88,78.32
3.63,3,0,6.4,73.5
3.63,3,0,7.92,65.91
3.63,3,0,9.45,55.99
3.63,3,45,2.13,157.68
3.63,3,45,3.35,141.14
3.63,3,45,4.88,110.66
3.63,3,45,6.4,80.6
3.63,3,45,7.92,66.47
3.63,3,45,9.45,55.09
3.63,3,90,2.13,186.99
3.63,3,90,3.35,120.24
3.63,3,90,4.88,90.46
3.63,3,90,6.4,67.71
3.63,3,90,7.92,53.43
3.63,3,90,9.45,44.61
3.63,3,90,2.13,234.7
3.63,3,90,3.35,123.55
3.63,3,90,4.88,82.6
3.63,3,90,6.4,64.33
3.63,3,90,7.92,51.5
3.63,3,90,9.45,46.88
3.63,3,90,2.13,397.76
3.63,3,90,3.35,120.59
3.63,3,90,4.88,85.15
3.63,3,90,6.4,71.57
3.63,3,90,7.92,57.5
3.63,3,90,9.45,49.37
3.63,3,135,2.13,144.51
3.63,3,135,3.35,115.76
3.63,3,135,4.88,89.08
3.63,3,135,6.4,72.81
3.63,3,135,7.92,60.74
3.63,3,135,9.45,52.88
3.63,3,180,2.13,139.48
3.63,3,180,3.35,85.22
3.63,3,180,4.88,88.8
3.63,3,180,6.4,77.57
3.63,3,180,7.92,65.22
3.63,3,180,9.45,59.29
3.63,3,180,2.13,132.24
3.63,3,180,3.35,115.49
3.63,3,180,4.88,99.7
3.63,3,180,6.4,80.53
3.63,3,180,7.92,70.12
3.63,3,180,9.45,51.37
3.63,4,0,2.13,169.82
3.63,4,0,3.35,92.11
3.63,4,0,4.88,103.42
3.63,4,0,6.4,77.43
3.63,4,0,7.92,70.33
3.63,4,0,9.45,58.12
3.63,4,0,2.13,205.6
3.63,4,0,3.35,118.73
3.63,4,0,4.88,89.77
3.63,4,0,6.4,75.7
3.63,4,0,7.92,73.15
3.63,4,0,9.45,60.95
3.63,4,22.5,2.13,94.6
3.63,4,22.5,3.35,101.49
3.63,4,22.5,4.88,91.29
3.63,4,22.5,6.4,56.05
3.63,4,22.5,7.92,66.47
3.63,4,22.5,9.45,53.92
3.63,4,22.5,2.13,108.11
3.63,4,22.5,3.35,106.18
3.63,4,22.5,4.88,86.12
3.63,4,22.5,6.4,71.5
3.63,4,22.5,7.92,66.47
3.63,4,22.5,9.45,59.43
3.63,4,22.5,2.13,97.97
3.63,4,22.5,3.35,110.87
3.63,4,22.5,4.88,93.91
3.63,4,22.5,6.4,81.15
3.63,4,22.5,7.92,72.6
3.63,4,22.5,9.45,58.33
3.63,4,45,2.13,153.48
3.63,4,45,3.35,130.52
3.63,4,45,4.88,114.59
3.63,4,45,6.4,85.01
3.63,4,45,7.92,62.67
3.63,4,45,9.45,55.99
3.63,4,45,2.13,148.72
3.63,4,45,3.35,130.72
3.63,4,45,4.88,104.59
3.63,4,45,6.4,79.57
3.63,4,45,7.92,65.84
3.63,4,45,9.45,58.26
3.63,4,67.5,2.13,160.79
3.63,4,67.5,3.35,131.9
3.63,4,67.5,4.88,96.39
3.63,4,67.5,6.4,68.95
3.63,4,67.5,7.92,59.29
3.63,4,67.5,9.45,49.44
3.63,4,67.5,2.13,165.96
3.63,4,67.5,3.35,129.76
3.63,4,67.5,4.88,93.15
3.63,4,67.5,6.4,74.88
3.63,4,67.5,7.92,59.43
3.63,4,67.5,9.45,53.16
3.63,4,90,2.13,291.44
3.63,4,90,3.35,114.38
3.63,4,90,4.88,93.77
3.63,4,90,6.4,67.02
3.63,4,90,7.92,50.68
3.63,4,90,9.45,44.13
3.63,4,90,2.13,283.1
3.63,4,90,3.35,123.62
3.63,4,90,4.88,87.84
3.63,4,90,6.4,67.43
3.63,4,90,7.92,53.43
3.63,4,90,9.45,47.85
3.63,4,90,2.13,225.46
3.63,4,90,3.35,123
3.63,4,90,4.88,92.11
3.63,4,90,6.4,61.57
3.63,4,90,7.92,53.71
3.63,4,90,9.45,50.4
3.63,4,90,2.13,259.31
3.63,4,90,3.35,123
3.63,4,90,4.88,90.39
3.63,4,90,6.4,66.74
3.63,4,90,7.92,53.02
3.63,4,90,9.45,45.44
3.63,4,90,2.13,255.45
3.63,4,90,3.35,131.83
3.63,4,90,4.88,93.08
3.63,4,90,6.4,70.74
3.63,4,90,7.92,53.5
3.63,4,90,9.45,44.61
3.63,4,112.5,2.13,146.44
3.63,4,112.5,3.35,116.38
3.63,4,112.5,4.88,94.87
3.63,4,112.5,6.4,70.26
3.63,4,112.5,7.92,56.47
3.63,4,112.5,9.45,51.5
3.63,4,112.5,2.13,139.34
3.63,4,112.5,3.35,118.93
3.63,4,112.5,4.88,94.46
3.63,4,112.5,6.4,67.91
3.63,4,112.5,7.92,57.43
3.63,4,112.5,9.45,49.23
3.63,4,112.5,2.13,143.07
3.63,4,112.5,3.35,116.8
3.63,4,112.5,4.88,95.29
3.63,4,112.5,6.4,73.15
3.63,4,112.5,7.92,59.09
3.63,4,112.5,9.45,48.95
3.63,4,135,2.13,142.45
3.63,4,135,3.35,118.8
3.63,4,135,4.88,90.25
3.63,4,135,6.4,71.98
3.63,4,135,7.92,60.67
3.63,4,135,9.45,52.47
3.63,4,135,2.13,136.24
3.63,4,135,3.35,122.73
3.63,4,135,4.88,95.01
3.63,4,135,6.4,61.36
3.63,4,135,7.92,63.71
3.63,4,135,9.45,52.54
3.63,4,157.5,2.13,105.49
3.63,4,157.5,3.35,118.87
3.63,4,157.5,4.88,90.32
3.63,4,157.5,6.4,75.64
3.63,4,157.5,7.92,66.12
3.63,4,157.5,9.45,60.4
3.63,4,157.5,2.13,94.87
3.63,4,157.5,3.35,117.83
3.63,4,157.5,4.88,96.18
3.63,4,157.5,6.4,70.74
3.63,4,157.5,7.92,69.57
3.63,4,157.5,9.45,57.64
3.63,4,180,2.13,124.93
3.63,4,180,3.35,125.35
3.63,4,180,4.88,95.77
3.63,4,180,6.4,82.6
3.63,4,180,7.92,71.36
3.63,4,180,9.45,64.81
3.63,4,180,2.13,108.11
3.63,4,180,3.35,115.28
3.63,4,180,4.88,97.56
3.63,4,180,6.4,67.02
3.63,4,180,7.92,74.19
3.63,4,180,9.45,58.4
3.63,4,180,2.13,124.59
3.63,4,180,3.35,123
3.63,4,180,4.88,110.32
3.63,4,180,6.4,93.49
3.63,4,180,7.92,76.12
3.63,4,180,9.45,64.4
3.63,6,0,2.13,172.02
3.63,6,0,3.35,116.11
3.63,6,0,4.88,98.18
3.63,6,0,6.4,80.81
3.63,6,0,7.92,73.29
3.63,6,0,9.45,58.61
3.63,6,45,2.13,175.95
3.63,6,45,3.35,124.17
3.63,6,45,4.88,89.63
3.63,6,45,6.4,78.26
3.63,6,45,7.92,68.81
3.63,6,45,9.45,52.4
3.63,6,90,2.13,376.66
3.63,6,90,3.35,132.31
3.63,6,90,4.88,75.5
3.63,6,90,6.4,76.88
3.63,6,90,7.92,61.29
3.63,6,90,9.45,45.37
3.63,6,90,2.13,228.01
3.63,6,90,3.35,118.38
3.63,6,90,4.88,95.7
3.63,6,90,6.4,68.33
3.63,6,90,7.92,54.4
3.63,6,90,9.45,38.96
3.63,6,135,2.13,136.72
3.63,6,135,3.35,108.59
3.63,6,135,4.88,91.36
3.63,6,135,6.4,70.95
3.63,6,135,7.92,58.47
3.63,6,135,9.45,46.19
3.63,6,180,2.13,124.38
3.63,6,180,3.35,120.38
3.63,6,180,4.88,112.94
3.63,6,180,6.4,90.05
3.63,6,180,7.92,73.91
3.63,6,180,9.45,50.68
7.26,1,0,3.35,458.98
7.26,1,0,4.88,190.43
7.26,1,0,6.4,149.27
7.26,1,0,7.92,130.93
7.26,1,0,9.45,97.22
7.26,1,90,3.35,166.65
7.26,1,90,4.88,120.45
7.26,1,90,6.4,107.7
7.26,1,90,7.92,95.15
7.26,1,90,9.45,76.12
7.26,1,90,3.35,162.23
7.26,1,90,4.88,127.83
7.26,1,90,6.4,103.63
7.26,1,90,7.92,87.7
7.26,1,90,9.45,66.33
7.26,1,180,3.35,223.25
7.26,1,180,4.88,126.86
7.26,1,180,6.4,122.59
7.26,1,180,7.92,103.7
7.26,1,180,9.45,73.08
7.26,4,0,3.35,172.58
7.26,4,0,4.88,126.59
7.26,4,0,6.4,129.97
7.26,4,0,7.92,107.7
7.26,4,0,9.45,83.7
7.26,4,90,3.35,235.39
7.26,4,90,4.88,123.28
7.26,4,90,6.4,115.69
7.26,4,90,7.92,92.67
7.26,4,90,9.45,70.26
7.26,4,90,3.35,220.15
7.26,4,90,4.88,148.38
7.26,4,90,6.4,116.18
7.26,4,90,7.92,87.84
7.26,4,90,9.45,52.47
7.26,4,180,3.35,174.64
7.26,4,180,4.88,147.41
7.26,4,180,6.4,116.94
7.26,4,180,7.92,102.46
7.26,4,180,9.45,69.71
